ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,put_lo,put_hi
SPY_PUT_SPREAD,2004-01-02,2004-01-02,73.8338851928711,73.8338851928711,0.0,0.0,-750.0,-0.75,0,put_premium,0,0,99250.0,0.05,0.15
SPY_PUT_SPREAD,2004-04-05,2004-04-05,76.78386688232422,76.78386688232422,0.0,0.0,-744.375,-0.75,0,put_premium,0,0,98505.625,0.05,0.15
SPY_PUT_SPREAD,2004-04-05,2004-07-06,76.78386688232422,72.49404907226562,0.0,0.0,578.1,0.5869,62,put_payout,0,0,99083.72879263622,0.05,0.15
SPY_PUT_SPREAD,2004-07-08,2004-07-08,74.50359344482422,74.50359344482422,0.0,0.0,-743.1279659447716,-0.75,0,put_premium,0,0,98340.60082669144,0.05,0.15
SPY_PUT_SPREAD,2004-10-07,2004-10-07,76.1631088256836,76.1631088256836,0.0,0.0,-737.5545062001858,-0.75,0,put_premium,0,0,97603.04632049125,0.05,0.15
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,535.6673076178124,5.3567,83.0284122466748,3.0185220869927196,6,profit_target,2,5,97686.07473273792,,
HOG,2004-10-19,2004-10-27,36.15901843617192,36.71674728393555,80.97817684911494,0.8098,44.35408349956497,1.5424335943967424,8,time_stop,2,5,97730.42881623749,,
LPX,2004-10-19,2004-10-27,19.536425685191265,19.063581466674805,149.87856206646077,1.4988,-72.36799717335106,-2.420321025636124,8,time_stop,3,4,97658.06081906414,,
TTC,2004-10-19,2004-10-27,6.161874083870105,6.4342732429504395,475.194940656055,4.7519,124.69075282737839,4.420719335914249,8,time_stop,2,5,97782.75157189151,,
MKC,2004-10-28,2004-11-01,11.019436592667105,11.431260108947754,266.2098486150221,2.6621,106.9693774390273,3.737246571704917,4,profit_target,2,5,97889.72094933054,,
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.83151307251869,0.7,144.45700074374741,4.780949183872768,2,profit_target,3,4,98034.17795007429,,
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,574.0275545172717,5.7403,1168.146117237475,11.586402948966374,2,profit_target,3,4,99202.32406731175,,
OII,2004-11-02,2004-11-04,7.701696926298419,8.143685340881348,1315.5004949182207,13.155,568.2809731827796,5.738844553512653,2,profit_target,3,4,99770.60504049453,,
MUR,2004-10-28,2004-11-05,18.683239988124352,18.80318260192871,157.01144710560683,1.5701,17.26224889199519,0.6419797309278139,8,time_stop,3,4,99787.86728938653,,
XRAY,2004-11-02,2004-11-05,21.184847103564756,21.61577796936035,478.2468369361456,4.7825,201.30885513553662,2.0341466883803134,3,profit_target,3,4,99989.17614452206,,
SPGI,2004-11-03,2004-11-05,29.533214734617452,30.340553283691406,377.36307510803874,3.7736,300.8861267807291,2.73366294976222,2,profit_target,3,4,100290.06227130278,,
IRM,2004-11-03,2004-11-08,7.93956219301624,8.116811752319336,1403.697642155177,14.037,234.76781204524832,2.232485305789373,5,profit_target,3,4,100524.83008334803,,
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,593.1210317755593,5.9312,415.1841792243688,3.7786005847713398,6,profit_target,3,4,100940.0142625724,,
HBAN,2004-11-04,2004-11-11,11.015929673787877,11.24785041809082,921.0786305195933,9.2108,204.40645524644393,2.1053215767598163,7,profit_target,3,4,101144.42071781884,,
TGT,2004-11-12,2004-11-15,30.655894898562774,31.589784622192383,296.94118846390177,2.9694,274.34091254416165,3.046362622000611,3,profit_target,3,4,101418.761630363,,
NTAP,2004-11-11,2004-11-17,18.46255423961731,21.707263946533203,492.05549599077676,4.9206,1591.656689222679,17.574543937985187,6,profit_target,3,4,103010.41831958569,,
VFC,2004-11-11,2004-11-19,7.149833633501167,7.069634914398193,1270.6031705499868,12.706,-114.6067784717862,-1.1216865064831125,8,time_stop,3,4,102895.8115411139,,
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,877.0991406274483,8.771,245.58772591700856,2.7436137202069246,4,profit_target,3,4,103141.39926703091,,
HL,2004-11-16,2004-11-24,6.3502252101078405,6.229709625244141,1437.3802888445373,14.3738,-187.6005290700986,-1.8978159179594394,8,time_stop,3,4,102953.79873796081,,
JBHT,2004-11-16,2004-11-24,16.09042188116439,16.03874969482422,567.2746565717854,5.6727,-34.98506832615104,-0.3211363053237149,8,time_stop,3,4,102918.81366963466,,
